arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i just ordered this pair of distressed jeans ,it hasnt come yet.,comparison,but,mid,i just ordered this pair of distressed jeans but it hasnt come yet.,Have you bought anything else from them?
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
it will be fun ,ot super easy for you on your first time.,comparison,but,mid,i know. it will be fun but ot super easy for you on your first time.,I do. I'll help as much as I can though.
they did a good job keeping her makeup subtle ,that it didn't overpower her gown.,contingency,so,mid,they did a good job keeping her makeup subtle so that it didn't overpower her gown.,The color and cut of that tuxedo jacket were impeccable. It was a perfect match.
"well, i did see a few things i liked, ",i haven't shopped at j crew for awhile now.,comparison,but,mid,"well, i did see a few things i liked, but i haven't shopped at j crew for awhile now.",Hey what's your opinion on J Crew's new spring catalog?
"i love both of those places, ",they are always so expensive.,comparison,but,mid,"wow.  i love both of those places, but they are always so expensive.",Mainly from John Varvatos and Barneys.
"i defintely agree, ",the clothes aren't too much more expensive than j crews and i never shop at there main stores.,comparison,but,mid,"i defintely agree, but the clothes aren't too much more expensive than j crews and i never shop at there main stores.","Wow.  I love both of those places, but they are always so expensive."
"yes you do, ",not for long!,comparison,but,mid,"yes you do, but not for long!",I would hope so.  I look like a bum now.
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
"it was, ",what who made it for her again?,comparison,but,mid,"it was, but what who made it for her again?","I did! Wasn't her gold, body fitting dress beautiful?"
"her shoes were beautiful, ",it looked like she could hardly stand in them!,comparison,but,mid,"i noticed! her shoes were beautiful, but it looked like she could hardly stand in them!","Lets not forget Nicki Minaj, though. She came with a simple, form fitting gown in royal blue by Alexander McQueen."
"her jewelry was beautiful as well, ",it looked so expensive!,comparison,but,mid,"her jewelry was beautiful as well, but it looked so expensive!",It was one of the Kardashians! She had on a Valentino dress with Jimmy Choo heels.
"i need to buy some new jeans, ",i'm not sure which style to get.,comparison,but,mid,"i need to buy some new jeans, but i'm not sure which style to get.","I believe those were Biorgioni pieces. She didn't buy it however, she just wore it and gave it back."
"i know, ",i haven't been finding jeans that are cut well lately.,comparison,but,mid,"i know, but i haven't been finding jeans that are cut well lately. what brands do you like?",Try on some boyfriend jeans and some skinny jeans. Those are two great styles.
they are relaxed fit ,not so baggy that they're sloppy looking.,comparison,but,mid,levis makes a great pair of boyfriend jeans. they are relaxed fit but not so baggy that they're sloppy looking.,"I know, but I haven't been finding jeans that are cut well lately. What brands do you like?"
it says here they came from claire's ,let's go look for some.,contingency,so,mid,it says here they came from claire's so let's go look for some.,I want a pair like that.
"well, i don't wear it ",it's yours.,contingency,so,mid,"well, i don't wear it so it's yours.",I love that.
talk about crazy patterns!,the patterns look good on the exercise leggings.,comparison,but,begin,i have seen the commercials.  talk about crazy patterns!  but the patterns look good on the exercise leggings.,Her daughter Kate Hudson has a fashion brand called Fabletics.
and the patterns are strategically placed ,they make the wearer look slimmer.,contingency,so,mid,true.  and the patterns are strategically placed so they make the wearer look slimmer.,I have seen the commercials.  Talk about crazy patterns!  But the patterns look good on the exercise leggings.
i think it is better to hang dry most clothes ,they don't fade.,contingency,so,mid,i think it is better to hang dry most clothes so they don't fade.,Yes but I don't like to.
i like the whole idea of being comfortable enough to get all my daily things done ,not looking dumpy in sweats.,comparison,but,mid,i like the whole idea of being comfortable enough to get all my daily things done but not looking dumpy in sweats. im going to check it out online tonight.,"I have a pair of matching leggings and tank from her, its called Fabletics, super cute and not too expensive."
these were popular when i was a teenager ,"i just feel they are too clunky, especially since i am tall and full figured.",comparison,but,mid,"chunky shoes!! these were popular when i was a teenager but i just feel they are too clunky, especially since i am tall and full figured.",What is the one trend this year that you refuse to wear?
"she is tasteful though, ",i have no doubt.,contingency,so,mid,"now with summer coming, im curious to see how she will still dress appropriate in the heat. she is tasteful though, so i have no doubt.","She really picks the right wardrobe for the occasion, never misses a beat!"
"i know she is not typically an icon, ",she is just so different than everyone else.,comparison,but,mid,"another celebrity whose fashion i adore is miley cyrus. i know she is not typically an icon, but she is just so different than everyone else.","Now with summer coming, Im curious to see how she will still dress appropriate in the heat. She is tasteful though, so I have no doubt."
"i'm going to check out a photo gallery of her online, ","i don't think ive seen too much of her fashion style, and i love getting new ideas.",contingency,because,mid,"i'm going to check out a photo gallery of her online, because i don't think ive seen too much of her fashion style, and i love getting new ideas.","Another celebrity whose fashion I adore is Miley Cyrus. I know she is not typically an icon, but she is just so different than everyone else."
"they are fine, ","since it is latin dance, i kind of want something sexy to match the theme",comparison,but,mid,"they are fine, but since it is latin dance, i kind of want something sexy to match the theme","well, what about the dresses in your closet?"
"yes, something that is sexy, move well with the movement of the dance, ",showcase the steps and the beats better,contingency,so,mid,"yes, something that is sexy, move well with the movement of the dance, so showcase the steps and the beats better",Maybe something flashy too?
"yes, something tight and flashy, ",it looks good when i spin in salsa,contingency,so,mid,"yes, something tight and flashy, so it looks good when i spin in salsa",any preference?
i think i've heard of that.,"we're hardly millenials, dear.",comparison,but,begin,"millennial pink? i think i've heard of that. but we're hardly millenials, dear.","Thank you. The blouse is polyester, and the color is Millennial pink."
"thanks, i guess.","it's not really a pink-y pink, is it?",comparison,but,begin,"thanks, i guess. but it's not really a pink-y pink, is it? it's almost a beige.","Anyone can wear it, darling. Even you."
Or perhaps the color itself inspires audacity.,"you, sweetheart, are no millennial.",comparison,but,begin,"but you, sweetheart, are no millennial. why are you  wearing this subtle but engaging color?","Well, perhaps those who wear it are. Or perhaps the color itself inspires audacity."
yes i am.,i think this pink is fading.,comparison,but,begin,yes i am. but i think this pink is fading. i'm going to get you a beautiful green tie.,Amazing. What a woman you are.
i am not sure ,i love emma watson flowing red gown by prada she looked hot.,comparison,but,mid,i am not sure but i love emma watson flowing red gown by prada she looked hot.,Who was the best dressed in Red at this year Oscars for the ladies?
"it was classic mcqueen, ",not over the top.,comparison,but,mid,"it was classic mcqueen, but not over the top.",Absolutely gorgeous.
"very relaxed, ",still very alexander mcqueen.,comparison,but,mid,"i agree. very relaxed, but still very alexander mcqueen.","Yes. The colors, fabrics, and leather goods have a bit of a western feel."
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
i'd say the siler ones ,it's up to you.,comparison,but,mid,i'd say the siler ones but it's up to you.,I don't know which I like more.
i don't shop there often ,i have noticed that too.,comparison,but,mid,i don't shop there often but i have noticed that too.,Walmart has great jewelry and it's pretty cheap.
maybe i'll see if they have more of those ,i can get one.,contingency,so,mid,maybe i'll see if they have more of those so i can get one.,I have a few pieces from there. That blue necklace you like came from there.
